PERMNO,start,ending,TICKER,EXCHCD,date,enddate,npermno,ric
10791,19940118,20000620,SGI,1,19900206,20121231,1,SGI.N
25013,19570301,20091103,SGP,1,19710118,20121231,1,SGP.N
89757,20050328,20121231,SHLD,3,20050328,20121231,1,SHLD.O
36468,19640514,20121231,SHW,1,19640211,20121231,1,SHW.N
70536,19940921,20121231,SIAL,3,19750808,20121231,1,SIAL.O
45794,20061002,20100826,SII,1,19680226,20121231,1,SII.N
42585,20081106,20121231,SJM,1,19651020,20121231,1,SJM.N
14277,19650304,20121231,SLB,1,19620702,20121231,1,SLB.N
22840,19810910,20120628,SLE,1,19850402,20120629,1,SLE.N
66325,19980701,20121231,SLM,1,19840410,20111212,1,SLM.N
66325,19980701,20121231,SLM,3,20111212,20121231,1,SLM.O
75857,19981231,20071001,SLR,1,19920421,20121231,1,SLR.N
44062,19670629,20001211,SMI,1,19661230,20121231,1,SMI.N
70229,19841025,20000607,SMS,1,19970918,20121231,1,SMS.N
60206,19820916,20121231,SNA,1,19780227,20121231,1,SNA.N
82618,20060420,20121231,SNDK,3,19951108,20121231,1,SNDK.O
92709,20080701,20121231,SNI,1,20080701,20121231,1,SNI.N
92709,20080701,20121231,SNI,31,20080616,20080701,1,SNI.N
20053,19971128,20071231,SNV,1,19890912,20121231,1,SNV.N
18411,19440607,20121231,SO,1,19620702,20121231,1,SO.N
71686,19990301,20041029,SOTR,3,19810928,20121231,1,SOTR.O
10562,20040701,20090129,SOV,1,20010710,20121231,1,SOV.N
59459,19760701,20121231,SPC,1,19920505,20040402,1,SPC.N
80100,20020626,20121231,SPG,1,19931214,20121231,1,SPG.N
75489,19981007,20121231,SPLS,3,19890428,20121231,1,SPLS.O
83906,20081119,20121231,SRCL,3,19960823,20121231,1,SRCL.O
86136,19980630,20121231,SRE,1,19980629,20121231,1,SRE.N
51625,19861218,20000315,SRV,1,19740514,20040827,1,SRV.N
84176,20051220,20080630,SSP,1,19961114,20121231,1,SSP.N
59459,19760701,20121231,STA,1,20040402,20070227,1,STA.N
68144,19880505,20121231,STI,1,19850701,20121231,1,STI.N
68591,19891201,20121231,STJ,1,19961202,20121231,1,STJ.N
27756,20061201,20100630,STR,1,19841002,20121231,1,STR.N
72726,19970815,20121231,STT,1,19950214,20121231,1,STT.N
89641,20120702,20121231,STX,1,20021211,20080916,1,STX.N
89641,20120702,20121231,STX,3,20080916,20121231,1,STX.O
69796,20050705,20121231,STZ,1,20000920,20121231,1,STZ.N
51588,19980128,20010228,SUB,1,19960301,20121231,1,SUB.N
14656,19690306,20121004,SUN,1,19620702,20121231,1,SUN.N
10078,19920820,20100128,SUNW,3,19860304,20070827,1,SUNW.O
88313,20000713,20111122,SV,1,20000626,20030102,1,SV.N
44951,19850131,20120430,SVU,1,19670913,20121231,1,SVU.N
43350,19820916,20121231,SWK,1,19660615,20121231,1,SWK.N
63765,20080606,20121231,SWN,1,19811210,20121231,1,SWN.N
76149,19981113,20121231,SWY,1,19900426,20121231,1,SWY.N
73139,20001212,20121231,SYK,1,19970724,20121231,1,SYK.N
75607,20030331,20121231,SYMC,3,19890623,20121231,1,SYMC.O
52038,19861218,20121231,SYY,1,19810120,20121231,1,SYY.N
66093,19831201,20121231,T,1,20051201,20121231,2,T.N
10401,19570301,20051118,T,1,19620702,20121231,2,T.N
59248,19760701,20121231,TAP,1,20050209,20121231,2,TAP.N
89495,20020821,20040401,TAP,1,20020821,20121231,2,TAP.N
92293,20071001,20121231,TDC,1,20071001,20121231,1,TDC.N
92293,20071001,20121231,TDC,31,20070913,20071001,1,TDC.N
37161,20011010,20121231,TE,1,19650201,20121231,1,TE.N
25099,20070222,20121231,TEG,1,20070222,20121231,1,TEG.N
40061,19670223,20071115,TEK,1,19640110,20121231,1,TEK.N
92157,20070702,20090625,TEL,1,20070702,20121231,1,TEL.N
92157,20111017,20121231,TEL,1,20070702,20121231,1,TEL.N
